department  related to  name                       license period  material / not material  license type  link                                                    comment
----------  ----------  ----                       --------------  -----------------------  ------------  ----                                                    -------
kessler     stuff       async                      perpetual       material                 MIT           git+https://github.com/caolan/async.git                 1.5.0
kessler     stuff       bcrypt                     perpetual       material                 MIT           git+https://github.com/ncb000gt/node.bcrypt.js.git      0.8.5
kessler     stuff       body-parser                perpetual       material                 MIT           https://github.com/expressjs/body-parser                1.13.3
kessler     stuff       commander                  perpetual       material                 MIT           git+https://github.com/tj/commander.js.git              2.9.0
kessler     stuff       cookie-parser              perpetual       material                 MIT           https://github.com/expressjs/cookie-parser              1.3.5
kessler     stuff       csurf                      perpetual       material                 MIT           https://github.com/expressjs/csurf                      1.8.3
kessler     stuff       daemon                     perpetual       material                 n/a           http://github.com/indexzero/daemon.node.git             1.1.0
kessler     stuff       debug                      perpetual       material                 MIT           git://github.com/visionmedia/debug.git                  2.2.0
kessler     stuff       express                    perpetual       material                 MIT           https://github.com/strongloop/express                   4.13.3
kessler     stuff       express-handlebars         perpetual       material                 BSD-3-Clause  git://github.com/ericf/express-handlebars.git           2.0.1
kessler     stuff       express-session            perpetual       material                 MIT           https://github.com/expressjs/session                    1.12.1
kessler     stuff       forever-monitor            perpetual       material                 MIT           git+ssh://git@github.com/nodejitsu/forever-monitor.git  1.7.0
kessler     stuff       handlebars                 perpetual       material                 MIT           git+https://github.com/wycats/handlebars.js.git         4.0.5
kessler     stuff       knex                       perpetual       material                 MIT           git://github.com/tgriesser/knex.git                     0.9.0
kessler     stuff       list-diff                  perpetual       material                 MIT           git://github.com/reonomy/node-list-diff.git             0.2.0
kessler     stuff       moira                      perpetual       material                 MIT           https://github.com/mjhasbach/MOIRA.git                  1.1.2
kessler     stuff       moment                     perpetual       material                 MIT           https://github.com/moment/moment.git                    2.10.6
kessler     stuff       morgan                     perpetual       material                 MIT           https://github.com/expressjs/morgan                     1.6.1
kessler     stuff       mysql                      perpetual       material                 MIT           https://github.com/felixge/node-mysql                   2.9.0
kessler     stuff       nice-route53               perpetual       material                 n/a           n/a                                                     skipping nice-route53 (invalid semversion)
kessler     stuff       nodemailer                 perpetual       material                 MIT           git://github.com/andris9/Nodemailer.git                 1.10.0
kessler     stuff       nodemailer-smtp-transport  perpetual       material                 MIT           git://github.com/andris9/nodemailer-smtp-transport.git  1.0.4
kessler     stuff       querystring                perpetual       material                 MIT           git://github.com/Gozala/querystring.git                 0.2.0
kessler     stuff       request                    perpetual       material                 Apache-2.0    git+https://github.com/request/request.git              2.67.0
kessler     stuff       serve-favicon              perpetual       material                 MIT           https://github.com/expressjs/serve-favicon              2.3.0
kessler     stuff       underscore                 perpetual       material                 MIT           git://github.com/jashkenas/underscore.git               1.8.3
kessler     stuff       xml2json                   perpetual       material                 MIT           git://github.com/buglabs/node-xml2json.git              0.9.0
kessler     stuff       grunt                      perpetual       material                 MIT           git://github.com/gruntjs/grunt.git                      0.4.5
